Id,Name,Institution,Origin,Coordinates,Material,Number of folios,Height mm,Width mm,Area mm^2,Total Lines (#Folios x Columns per Page x Lines per Column x 2),Leaves per gathering,Lines per column,Number of illustrations,Date start,Date end,Date Delta,Columns per folio,Texts,Folios with 1 illustration,Folios with More than 1 illustration
Penn906,Penn Codex 906,University of Pennsylvania,France,"39.952219, -75.193214",paper,339,300,210,63000,25086,16,37,0,1475,1500,25,1,1,,
PMA1945-65-3,PMA 1945-65-3,Philadelphia Museum of Art,France,"39.96557, -75.180966",parchment,150,339,236,80004,24000,,40,75,1400,1500,100,2,6,64,6
Anon1,Rauner Codex 3206,Dartmouth College,France,"43.704441, -72.2886929999999",parchment,136,250,175,43750,21760,8,40,11,1300,1325,25,2,1,,
Rosen0396,Rosenwald 396,Library of Congress,"Lyons, France",,paper,150,276,185,51060,24600,8,41,92,1400,1500,100,2,1,79,6
Rosen0917,Rosenwald 917,Library of Congress,"Lyons, France",,paper,,300,210,63000,0,,,,1500,1600,100,,1,122,9
Rothschild2800,Rothschild 2800,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,141,228,163,37164,21432,,38,72,1329,1329,0,2,5,,
Rothschild2801,Rothschild 2801,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,130,318,222,70596,19760,,38,14,1340,1360,20,2,3,,
Rouen1056,Rouen 1056,"Bibliotheque Municipale (BM), Rouen",France,"49.444591, 1.095053",parchment,128,305,220,67100,22016,,43,1,1400,1500,100,2,1,,
RylandsFrench66,Rylands French 66,John Rylands Library,France,"53.480274, -2.24875999999994",parchment,157,280,201,56280,21980,8,35,4,1300,1400,100,2,1,4,0
Sainte-Genevieve1126,Sainte-Genevieve 1126,Bibliotheque Sainte-Genevieve (BSG),France,"48.8471126, 2.34585649999996",parchment,155,302,217,65534,23560,,38,107,1340,1360,20,2,1,,
Sainte-Genevieve1127,Sainte-Genevieve 1127,Bibliotheque Sainte-Genevieve (BSG),France,"48.8471126, 2.34585649999996",paper,130,289,207,59823,19240,,37,0,1400,1500,100,2,1,,
SeldenSupra57,Selden Supra 57,Bodleian Library,France,"51.754073, -1.25404200000002",parchment,148,240,180,43200,22496,8,38,53,1300,1350,50,2,2,42,6
Senshu2,Senshu 2,Senshu University,France,"35.696854, 139.753963",parchment,105,229,163,37327,12180,,29,0,1300,1400,100,2,1,,
Senshu3,Senshu 3,Senshu University,France,"35.696854, 139.753963",paper,135,287,198,56826,21600,,40,0,1400,1500,100,2,2,,
SmithLesouef62,Smith Lesouef 62,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,140,,,0,22400,,40,36,1300,1350,50,2,1,,
UC1380,UC 1380,University of Chicago,"Paris, France","41.788608, -87.5987129999999",parchment,141,265,180,47700,21996,8,39,41,1375,1400,25,2,4,34,4
Versailles153,Versailles 153,"Bibliotheque Municipale (BM), Versailles",France,"48.802596, 2.16056200000002",parchment,138,240,170,40800,22080,,40,1,1400,1500,100,2,1,,
Walters143,Walters 143,Walters Art Museum,"Paris, France","39.29658, -76.616099",parchment,143,300,216,64800,22880,8,40,42,1300,1400,100,2,1,35,4
